"DateHour"	"LocationTypeID"	"LocationID"	"VisitID"	"CharacteristicID"	"ResultValue"	"Units"	"Qualifier"	"FlagID"	"SampleTypeID"	"CharacteristicName"	"SampleType"	"Datetime"	"ProjectID"	"SampleDepthType"	"Comment"	"MunicipalityID"	"WaterBodyID"	"Latitude"	"Longitude"	"WaterType"	"LocationTypeName"	"Precip.48"	"Weather"
"24126"	2000-07-12 06:00:00	22	"ALB006"	359	"FCOLI"	650	"CFU/100ml"	NA	NA	"S"	"Fecal Coliform"	"S"	2000-07-12 06:25:00	"BASE"	NA	NA	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0	"Dry"
"24128"	2000-07-12 06:00:00	22	"ALB006"	359	"SPCOND"	755.31914893617	"uS/cm"	NA	NA	"S"	"Specific conductance"	"S"	2000-07-12 06:25:00	"BASE"	NA	NA	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0	"Dry"
"24134"	2000-07-12 06:00:00	22	"ALB006"	359	"NO2"	0.1	"mg/l"	"<"	NA	"S"	"Nitrite"	"S"	2000-07-12 06:25:00	"BASE"	NA	NA	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0	"Dry"
"24135"	2000-07-12 06:00:00	22	"ALB006"	359	"DO_SAT"	97.5319241969295	"%"	NA	NA	"S"	"Dissolved Oxygen, % saturation"	"S"	2000-07-12 06:25:00	"BASE"	NA	NA	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0	"Dry"
"24136"	2000-07-12 06:00:00	22	"ALB006"	359	"TP"	0.23	"mg/l"	NA	NA	"S"	"Total Phosphorus"	"S"	2000-07-12 06:25:00	"BASE"	NA	NA	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0	"Dry"
"24150"	2000-07-12 06:00:00	22	"ALB006"	359	"DO"	8.5	"mg/l"	NA	NA	"S"	"Dissolved Oxygen"	"S"	2000-07-12 06:25:00	"BASE"	NA	NA	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0	"Dry"
"24152"	2000-07-12 06:00:00	22	"ALB006"	359	"PH"	8.1	NA	NA	NA	"S"	"pH"	"S"	2000-07-12 06:25:00	"BASE"	NA	NA	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0	"Dry"
"24158"	2000-07-12 06:00:00	22	"ALB006"	359	"TSS"	24	"mg/l"	NA	NA	"S"	"Total suspended solids"	"S"	2000-07-12 06:25:00	"BASE"	NA	NA	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0	"Dry"
"24163"	2000-07-12 06:00:00	22	"ALB006"	359	"SALINITY"	0.3	"ppt"	NA	NA	"S"	"Salinity"	"S"	2000-07-12 06:25:00	"BASE"	NA	NA	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0	"Dry"
"24167"	2000-07-12 06:00:00	22	"ALB006"	359	"TEMP_WATER"	22	"deg C"	NA	NA	"S"	"Water Temperature"	"S"	2000-07-12 06:25:00	"BASE"	NA	NA	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0	"Dry"
"24172"	2000-07-12 06:00:00	22	"ALB006"	359	"NO3"	0.49	"mg/l"	NA	NA	"S"	"Nitrate"	"S"	2000-07-12 06:25:00	"BASE"	NA	NA	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0	"Dry"
"24685"	2000-08-09 06:00:00	22	"ALB006"	373	"SALINITY"	0.4	"ppt"	NA	NA	"S"	"Salinity"	"S"	2000-08-09 06:35:00	"BASE"	NA	"Sediment in water. Water running out of pipe under bridge. Two ducks swimming around."	"Somerville"	"Alewife Brook"	42.407133	-71.133767	"Fresh"	"River/Stream"	0.01	"Dry"
