# From roughly 16:30 26 Jan 2014 to 08:30 27 Jan 2014
# Sensor 1 is onboard-temperature
# Sensor 2 is external thermistor temperature in water
# Sensor 3 is garbage
# 
# time         sensor    value
9              1         24.0560
9              3         305.9490
9              2         294.6520
15             1         24.0920
15             3         304.3420
15             2         299.3750
20             4         24.4770
21             1         23.7010
21             3         304.5100
21             2         0.0000
27             1         23.7540
27             3         304.8570
27             2         0.0000
33             1         24.0920
33             3         304.9210
33             2         293.7720
39             1         23.7890
39             3         298.5590
39             2         293.7970
45             1         23.5050
45             3         303.3220
45             2         293.8390
49             4         10.9120
51             1         23.6650
51             3         304.4190
51             2         294.3460
57             1         23.6650
57             3         304.4360
57             2         294.1100
63             1         23.5400
63             3         304.4540
63             2         294.1210
69             1         23.6650
69             3         304.4800
69             2         294.1060
75             1         22.9000
75             3         301.9940
75             2         294.0920
81             1         23.3270
81             3         294.7330
81             2         294.0910
87             1         23.1130
87             3         304.4510
87             2         294.0940
93             1         22.9000
93             3         304.7570
93             2         294.0880
99             1         22.5260
99             3         304.4360
99             2         294.0960
105            1         21.9740
105            3         304.3980
105            2         294.1030
111            1         21.8500
111            3         304.4040
111            2         294.1290
117            1         21.1560
117            3         304.3920
117            2         294.1540
123            1         21.3340
123            3         304.3720
123            2         294.1650
129            1         21.2450
129            3         304.3840
129            2         294.1880
135            1         21.2090
135            3         304.3770
135            2         294.1980
141            1         20.9960
141            3         304.3630
141            2         294.2010
147            1         20.7820
147            3         304.3700
147            2         294.2160
153            1         20.7820
153            3         304.3630
153            2         294.2280
159            1         20.4440
159            3         304.3720
159            2         294.2370
165            1         20.4800
165            3         304.3570
165            2         294.2520
171            1         20.1060
171            3         304.3610
171            2         294.2550
177            1         20.3910
177            3         304.3680
177            2         294.2620
183            1         20.1060
183            3         304.3530
183            2         294.2740
189            1         20.2310
189            3         304.3630
189            2         294.2750
195            1         20.5330
195            3         304.3570
195            2         294.2860
201            1         19.9810
201            3         304.3580
201            2         294.2980
207            1         19.9280
207            3         304.3660
207            2         294.3060
213            1         19.8920
213            3         304.3540
213            2         294.3060
219            1         19.9280
219            3         304.3550
219            2         294.3130
225            1         19.8390
225            3         304.3550
225            2         294.3110
231            1         19.8390
231            3         304.3700
231            2         294.3230
237            1         19.6790
237            3         304.3730
237            2         294.3590
243            1         19.8040
243            3         304.3730
243            2         294.3560
249            1         19.1630
249            3         304.3640
249            2         294.3700
255            1         19.4300
255            3         304.3630
255            2         294.3650
261            1         19.4650
261            3         304.3770
261            2         294.3720
267            1         19.2520
267            3         304.3990
267            2         294.3740
273            1         19.2870
273            3         304.3730
273            2         294.3800
279            1         18.7000
279            3         304.3800
279            2         294.3750
285            1         19.1630
285            3         304.3900
285            2         294.3670
291            1         19.3760
291            3         304.3920
291            2         294.3630
297            1         19.2520
297            3         304.3850
297            2         294.3720
303            1         19.2160
303            3         304.3860
303            2         294.3670
309            1         18.9140
309            3         304.3880
309            2         294.3540
315            1         18.9140
315            3         304.3930
315            2         294.3590
321            1         18.9490
321            3         304.4040
321            2         294.3570
327            1         19.0030
327            3         304.4120
327            2         294.3550
333            1         18.9490
333            3         304.3990
333            2         294.3530
339            1         18.9140
339            3         304.3990
339            2         294.3580
345            1         18.9140
345            3         304.4130
345            2         294.3560
351            1         18.3980
351            3         304.3990
351            2         294.3580
357            1         19.0740
357            3         304.4180
357            2         294.3730
363            1         18.9490
363            3         304.4210
363            2         294.3780
369            1         18.5760
369            3         304.4200
369            2         294.3850
375            1         18.6650
375            3         304.4150
375            2         294.3920
381            1         18.7000
381            3         304.4140
381            2         294.3880
387            1         18.4510
387            3         304.4180
387            2         294.4110
393            1         18.7000
393            3         304.4230
393            2         294.4140
399            1         18.5220
399            3         304.4220
399            2         294.4320
405            1         18.3620
405            3         304.4240
405            2         294.4440
411            1         18.4510
411            3         304.4210
411            2         294.4490
417            1         18.6650
417            3         304.4300
417            2         294.4590
423            1         18.1130
423            3         304.4330
423            2         294.4730
429            1         18.7000
429            3         304.4290
429            2         294.4890
435            1         18.1130
435            3         304.4340
435            2         294.4990
441            1         18.1490
441            3         304.4220
441            2         294.5110
447            1         18.3980
447            3         304.4180
447            2         294.5320
453            1         18.3620
453            3         304.4230
453            2         294.5670
459            1         18.1840
459            3         304.4300
459            2         294.5870
465            1         18.3980
465            3         304.4130
465            2         294.6080
471            1         18.2380
471            3         304.4400
471            2         294.6220
477            1         18.3620
477            3         304.4350
477            2         294.6380
477            4         6.3830
483            1         18.0600
483            3         304.4100
483            2         294.6390
489            1         18.2380
489            3         304.4300
489            2         294.6630
495            1         17.8460
495            3         304.4480
495            2         294.6720
501            1         18.1130
501            3         304.4430
501            2         294.6820
507            1         18.2380
507            3         304.4180
507            2         294.6840
513            1         18.1490
513            3         304.4430
513            2         294.6850
519            1         18.0240
519            3         304.4340
519            2         294.6970
519            4         2.6740
525            1         17.9350
525            3         304.4400
525            2         294.7090
531            1         17.7220
531            3         304.4430
531            2         294.7280
537            1         17.6860
537            3         304.4320
537            2         294.7480
543            1         17.8460
543            3         304.4260
543            2         294.7700
549            1         17.8110
549            3         304.4550
549            2         294.7910
549            4         1.7250
555            1         17.6330
555            3         304.4430
555            2         294.7870
561            1         17.8460
561            3         304.4300
561            2         294.8120
567            1         17.7570
567            3         304.4480
567            2         294.8150
573            1         17.8460
573            3         304.4600
573            2         294.8330
579            1         17.5970
579            3         304.4500
579            2         294.8480
579            4         1.3920
585            1         17.7570
585            3         304.4500
585            2         294.8600
591            1         17.5080
591            3         304.4540
591            2         294.8620
597            1         18.0600
597            3         304.4290
597            2         294.8620
603            1         17.5970
603            3         304.4210
603            2         294.8620
603            4         1.2870
609            1         17.2940
609            3         304.4500
609            2         294.8830
615            1         17.5970
615            3         304.4440
615            2         294.8810
621            1         17.2940
621            3         304.4190
